id	longitude	latitude	country
860	-88.46	33.5	United States of America
861	-95.94	41.28	United States of America
862	-119.76	39.17	United States of America
863	-71.3	44.27	United States of America
864	-70.66	44.31	United States of America
865	-73.96	41.39	United States of America
866	-77.94	34.23	United States of America
867	-78.17	34.18	United States of America
868	-103.99	47.99	United States of America
869	-98.03	35.57	United States of America
870	-121.55	45.55	United States of America
871	-99.65	44.39	United States of America
872	-100.6	44.59	United States of America
873	-83.92	35.96	United States of America
874	-90.05	35.15	United States of America
875	-86.83	36.16	United States of America
876	-103.89	30.6	United States of America
877	-111.89	40.77	United States of America
878	-79.16	37.39	United States of America
879	-81.07	36.92	United States of America
881	-91.25	43.81	United States of America
882	-91.25	43.81	United States of America
883	-88.58	43.13	United States of America
884	-110.39	41.32	United States of America
885	9.98	53.63	Germany
886	11.38	53.65	Germany
887	8.8	53.05	Germany
888	13.07	52.38	Germany
889	6.1	50.78	Germany
890	6.67	49.75	Germany
891	9.97	49.77	Germany
892	8.37	49.03	Germany
893	10.98	47.42	Germany
900	-5.35	36.15	Spain
901	-5.35	36.15	Spain
902	-6.65	54.35	United Kingdom
911	32.5	0.06	Uganda
912	32.46	0.07	Uganda
913	32.48	0.08	Uganda
914	32.48	0.08	Uganda
923	166.92	-0.54	Nauru
925	166.92	-0.54	Nauru
927	166.92	-0.54	Nauru
933	-157.93	-21.92	Cook Islands
935	178.82	-17.67	Fiji
938	14.44	-22.94	Namibia
939	38.88	-6.42	United Republic of Tanzania
940	39.3	-6.82	United Republic of Tanzania
941	39.3	-6.82	United Republic of Tanzania
944	5.35	59.8	Norway
945	16.5	77.17	Norway
948	16.25	80.05	Norway
951	11.88	78.93	Norway
952	11.93	78.92	Norway
953	11.92	78.92	Norway
957	11.92	78.92	Norway
963	15.58	78.22	Norway
965	15.58	78.22	Norway
966	11.93	78.92	Norway
967	11.93	78.92	Norway
976	16.12	69.3	Norway
977	16.13	69.3	Norway
978	16.13	69.3	Norway
986	17.77	69.28	Norway
987	28.88	78.92	Norway
988	28.9	78.93	Norway
997	18.52	69.07	Norway
998	18.53	69.07	Norway
999	18.52	69.07	Norway
1000	18.53	69.05	Norway
1001	18.55	69.05	Norway
1002	18.54	69.05	Norway
1004	16.36	78.66	Norway
1010	19.28	74.47	Norway
1011	19.28	74.47	Norway
1014	19.05	74.48	Norway
1020	19.28	69.02	Norway
1027	19.98	69.27	Norway
1028	19.98	69.25	Norway
1029	19.98	69.25	Norway
1030	20.27	69.37	Norway
1031	20.15	69.92	Norway
1032	20.27	69.38	Norway
1034	20.98	70.03	Norway
1035	20.98	70.03	Norway
1036	21.03	69.77	Norway
1037	21.03	69.75	Norway
1038	21.02	69.75	Norway
1042	22.15	70.48	Norway
1043	22.15	70.48	Norway
1044	22.15	70.48	Norway
1046	21.88	69.83	Norway
1047	21.88	69.83	Norway
