id	longitude	latitude	country
3199	-4.8	55.97	NA
3200	-4.8	55.96	NA
3201	-4.8	55.97	NA
3230	-22.38	55.7	NA
3234	-3.13	56.03	NA
3245	-2.63	56.08	NA
3253	-2.58	56.3	NA
3254	-2.58	56.3	NA
3255	-2.55	56.3	NA
3256	-2.53	56.3	NA
3259	-2.4	56.43	NA
3260	-2.4	56.43	NA
3261	-2.38	56.43	NA
3262	-2.13	55.92	NA
3263	-2.13	55.92	NA
3268	-4.83	54.05	NA
3271	-4.37	54.42	NA
3277	-3.63	54.52	NA
3283	-3.25	54.12	NA
3284	-3.25	54.11	NA
3285	-3.25	54.12	NA
3294	0	0	NA
3337	-1.42	55.02	NA
3338	-1.42	55.02	NA
3339	-1.42	55.02	NA
3345	-1.22	55.08	NA
3346	-1.13	54.65	NA
3360	-0.08	54.12	NA
3361	-0.08	54.12	NA
3371	-4.62	53.32	NA
3373	-4.55	53.25	NA
3375	-4.88	53.42	NA
3385	-4.62	53.32	NA
3386	-3.5	53.33	NA
3387	-3.5	53.33	NA
3390	-3.1	53.55	NA
3391	-3.1	53.55	NA
3392	-3.07	53.5	NA
3394	-3.07	53.5	NA
3433	0	0	NA
3460	0	0	NA
3465	0.82	53.48	NA
3470	0.12	53.67	NA
3471	0.12	53.67	NA
3475	0.12	53.67	NA
3476	0.57	53.33	NA
3490	0.15	53.62	NA
3492	0.38	53.58	NA
3493	0.37	53.62	NA
3494	0.83	53.57	NA
3495	-4.8	52.75	NA
3496	-4.57	52.95	NA
3504	-4.07	52.55	NA
3505	-4.07	52.55	NA
3507	-4.73	52.78	NA
3508	-4.73	52.78	NA
3549	0.18	52.88	NA
3569	1.32	52.92	NA
3581	1.92	52.8	NA
3582	1.83	52.8	NA
3583	2.3	52.72	NA
3710	1.7	52.03	NA
3711	-5.17	51.68	NA
3712	0	0	NA
3715	-5.05	51.7	NA
3716	-5.05	51.69	NA
3717	-5.05	51.7	NA
3720	-4.37	51.71	NA
3721	-4.67	51.7	NA
3722	-4.67	51.7	NA
3726	-3.98	51.57	NA
3727	-3.98	51.57	NA
3729	-3.98	51.57	NA
3739	0	0	NA
3773	0	0	NA
3795	0.82	51.53	NA
3796	0.82	51.53	NA
